                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.33216,                0.28333,                0.95614,                0.85339,                0.83314,                0.90057,                0.76853,                0.60752,                0.57129,                 1.1354,               0.070092,              0.0033231,              0.0033231
                      1,                0.36193,                0.32211,                0.96893,                0.80021,                0.76436,                0.82131,                 0.6481,                0.79227,                0.78603,                 1.3075,               0.040048,              0.0066125,              0.0066125
                      2,                0.41858,                0.39881,                 1.0002,                0.77781,                 0.7001,                0.78386,                0.57958,                0.92439,                0.96579,                 1.4291,              0.0099604,              0.0098579,              0.0098579
                      3,                0.48722,                0.48661,                 1.0484,                0.64576,                0.63389,                0.61659,                0.41444,                 1.1781,                 1.2114,                 1.7405,               0.009802,               0.009802,               0.009802
                      4,                0.48962,                0.48978,                 1.0483,                0.79812,                0.70837,                0.79496,                 0.6031,                0.88156,                0.92907,                  1.418,               0.009802,               0.009802,               0.009802
                      5,                 0.4858,                0.48183,                  1.047,                 0.3294,                0.35704,                0.22539,                0.10322,                 2.2105,                 2.6896,                 3.7531,               0.009736,               0.009736,               0.009736
                      6,                0.48398,                0.48526,                 1.0459,                0.71751,                 0.6764,                  0.724,                0.52334,                0.98784,                 1.0162,                   1.53,                0.00967,                0.00967,                0.00967
                      7,                0.47843,                0.47368,                 1.0433,                0.80331,                0.74878,                0.83435,                0.65153,                0.78515,                0.83047,                 1.3193,               0.009604,               0.009604,               0.009604
                      8,                0.47363,                0.47095,                 1.0421,                0.65133,                0.59737,                0.63134,                0.38129,                 1.3125,                 1.3036,                  1.994,               0.009538,               0.009538,               0.009538
                      9,                0.47063,                0.46837,                 1.0371,                0.78006,                0.73558,                0.80706,                0.62227,                0.84065,                0.85523,                 1.3483,               0.009472,               0.009472,               0.009472
                     10,                 0.4664,                 0.4641,                 1.0377,                0.81109,                0.75268,                0.83665,                0.65263,                0.76169,                0.79402,                 1.2889,               0.009406,               0.009406,               0.009406
                     11,                 0.4645,                0.46269,                  1.035,                0.78021,                0.72241,                0.79568,                0.57688,                0.91965,                0.97396,                 1.4529,                0.00934,                0.00934,                0.00934
                     12,                0.46463,                0.45749,                 1.0336,                0.83663,                 0.7741,                0.86678,                 0.7074,                0.69502,                0.68496,                 1.2231,               0.009274,               0.009274,               0.009274
                     13,                0.46171,                0.45343,                 1.0322,                0.75588,                0.72833,                0.79106,                0.56987,                0.95309,                0.96147,                 1.5502,               0.009208,               0.009208,               0.009208
                     14,                0.45882,                0.44923,                 1.0331,                0.83824,                0.76696,                0.86093,                0.68559,                0.73593,                0.69509,                 1.2544,               0.009142,               0.009142,               0.009142
                     15,                0.45766,                0.44562,                 1.0309,                0.78717,                0.80669,                0.86034,                0.69231,                0.72545,                0.73079,                  1.253,               0.009076,               0.009076,               0.009076
                     16,                 0.4541,                 0.4489,                 1.0283,                0.82753,                0.76856,                0.86217,                0.69743,                0.70271,                 0.7207,                 1.2152,                0.00901,                0.00901,                0.00901
                     17,                0.45598,                0.44987,                 1.0278,                0.82707,                0.80234,                0.87824,                0.71852,                0.68911,                0.66266,                 1.2126,               0.008944,               0.008944,               0.008944
                     18,                0.45218,                0.44567,                 1.0281,                 0.8294,                0.79357,                0.87194,                0.70773,                0.68947,                0.66597,                  1.212,               0.008878,               0.008878,               0.008878
                     19,                0.44923,                0.43718,                 1.0239,                 0.8458,                0.78676,                0.88001,                0.72468,                0.67238,                0.65742,                 1.1879,               0.008812,               0.008812,               0.008812
                     20,                0.44664,                0.44072,                 1.0247,                0.82782,                0.81305,                0.88645,                0.73521,                0.65438,                0.63177,                 1.1812,               0.008746,               0.008746,               0.008746
                     21,                0.44351,                0.43348,                 1.0221,                0.83741,                0.80493,                0.88563,                0.73658,                0.65799,                0.63343,                  1.177,                0.00868,                0.00868,                0.00868
                     22,                0.44302,                0.43549,                 1.0219,                0.84187,                0.80871,                 0.8887,                0.73352,                0.64741,                0.62572,                 1.1736,               0.008614,               0.008614,               0.008614
                     23,                 0.4442,                0.43529,                 1.0234,                0.86321,                 0.7926,                 0.8912,                0.74184,                0.63623,                 0.6182,                 1.1625,               0.008548,               0.008548,               0.008548
                     24,                0.44204,                0.43228,                 1.0203,                0.83014,                0.80658,                0.88991,                0.74238,                0.62919,                0.61201,                 1.1557,               0.008482,               0.008482,               0.008482
                     25,                0.44452,                0.43186,                 1.0218,                0.83813,                0.81672,                 0.8886,                0.74599,                0.62361,                0.59552,                 1.1555,               0.008416,               0.008416,               0.008416
                     26,                0.43994,                0.43181,                 1.0212,                0.86205,                0.78968,                0.89539,                0.75312,                0.61473,                0.59504,                 1.1454,                0.00835,                0.00835,                0.00835
                     27,                0.43911,                0.42754,                 1.0193,                0.82441,                0.82522,                0.89243,                0.74586,                0.62012,                0.60137,                 1.1481,               0.008284,               0.008284,               0.008284
                     28,                0.44046,                0.42768,                  1.021,                0.85612,                0.78793,                0.89023,                0.74063,                0.63056,                0.60805,                 1.1568,               0.008218,               0.008218,               0.008218
                     29,                0.43437,                0.42495,                  1.018,                 0.8524,                0.79211,                0.89402,                0.74644,                0.62482,                0.59969,                 1.1597,               0.008152,               0.008152,               0.008152
                     30,                0.43602,                0.42788,                 1.0173,                0.86103,                0.80818,                0.89997,                0.75701,                0.60975,                0.57282,                 1.1415,               0.008086,               0.008086,               0.008086
                     31,                0.43393,                0.42257,                 1.0159,                0.85547,                0.80672,                0.89905,                0.75311,                0.61943,                0.58102,                 1.1561,                0.00802,                0.00802,                0.00802
                     32,                0.43221,                0.42199,                 1.0167,                0.86091,                 0.8111,                 0.9017,                0.75985,                0.61494,                 0.5836,                 1.1502,               0.007954,               0.007954,               0.007954
                     33,                0.43388,                0.42145,                  1.019,                0.86337,                0.80526,                0.90203,                0.75778,                0.61044,                  0.572,                 1.1407,               0.007888,               0.007888,               0.007888
                     34,                  0.431,                0.41994,                 1.0173,                0.85581,                0.81353,                0.90031,                0.75745,                0.61433,                0.58157,                 1.1426,               0.007822,               0.007822,               0.007822
                     35,                0.43439,                0.42237,                 1.0148,                0.84812,                0.82373,                0.90258,                0.76404,                0.60539,                0.56459,                 1.1348,               0.007756,               0.007756,               0.007756
                     36,                0.43313,                0.41867,                  1.016,                0.87121,                 0.7999,                0.90294,                0.76449,                0.60055,                0.56453,                   1.13,                0.00769,                0.00769,                0.00769
                     37,                0.43283,                0.41527,                 1.0154,                0.84533,                 0.8223,                0.90113,                0.76447,                0.60132,                 0.5671,                 1.1345,               0.007624,               0.007624,               0.007624
                     38,                0.42432,                0.41599,                 1.0104,                0.87378,                0.79539,                0.90153,                0.76216,                0.60114,                0.56681,                 1.1391,               0.007558,               0.007558,               0.007558
                     39,                0.42663,                0.41249,                 1.0128,                0.85267,                0.81994,                0.90302,                0.76461,                0.59987,                0.56165,                 1.1406,               0.007492,               0.007492,               0.007492
                     40,                0.42694,                0.41268,                 1.0125,                0.85788,                0.81407,                0.90594,                0.76652,                0.60049,                0.55845,                 1.1416,               0.007426,               0.007426,               0.007426
                     41,                 0.4283,                   0.41,                  1.014,                0.85186,                0.82132,                0.90579,                0.76479,                0.59799,                0.56441,                 1.1366,                0.00736,                0.00736,                0.00736
                     42,                0.42697,                0.41626,                 1.0118,                0.85301,                0.82571,                 0.9065,                0.76576,                0.59827,                 0.5617,                 1.1353,               0.007294,               0.007294,               0.007294
                     43,                0.42186,                0.40641,                 1.0084,                0.85415,                0.82522,                0.90513,                0.76643,                0.60011,                0.55757,                 1.1369,               0.007228,               0.007228,               0.007228
                     44,                0.42527,                0.40731,                 1.0098,                0.85205,                0.82716,                0.90626,                0.76664,                0.60057,                0.55303,                 1.1376,               0.007162,               0.007162,               0.007162
                     45,                 0.4227,                0.41004,                 1.0101,                0.85827,                0.82571,                0.90811,                0.76902,                0.59803,                0.54718,                 1.1355,               0.007096,               0.007096,               0.007096
                     46,                0.42229,                0.40668,                 1.0101,                0.86276,                0.82668,                 0.9096,                 0.7698,                0.59676,                0.54651,                 1.1341,                0.00703,                0.00703,                0.00703
                     47,                0.41917,                 0.4056,                 1.0093,                0.86696,                0.82278,                0.91007,                0.76958,                0.59544,                 0.5468,                 1.1314,               0.006964,               0.006964,               0.006964
                     48,                 0.4194,                 0.4013,                 1.0082,                0.86175,                0.82327,                0.90972,                0.77074,                0.59428,                0.54696,                 1.1317,               0.006898,               0.006898,               0.006898
                     49,                0.42345,                0.40235,                 1.0098,                0.86666,                0.81957,                0.90989,                0.77275,                 0.5943,                0.54385,                  1.132,               0.006832,               0.006832,               0.006832
                     50,                0.38642,                 0.3476,                0.98866,                0.87074,                0.82425,                0.91266,                0.77545,                0.59094,                0.53988,                 1.1281,               0.006766,               0.006766,               0.006766
                     51,                0.38104,                0.34071,                0.98274,                0.86991,                0.82619,                0.91446,                0.77853,                0.58653,                0.53441,                 1.1235,                 0.0067,                 0.0067,                 0.0067
                     52,                0.37657,                0.33422,                0.97635,                0.86849,                0.82951,                0.91563,                 0.7814,                0.58513,                0.53043,                 1.1217,               0.006634,               0.006634,               0.006634
                     53,                0.37402,                0.32982,                0.97417,                0.86367,                0.83894,                0.91669,                0.78387,                0.58269,                0.52542,                 1.1189,               0.006568,               0.006568,               0.006568
                     54,                 0.3744,                0.33049,                0.97744,                0.86349,                 0.8369,                0.91807,                0.78519,                0.58082,                0.52115,                 1.1172,               0.006502,               0.006502,               0.006502
                     55,                0.37299,                0.32246,                0.96926,                0.86337,                0.83642,                0.91816,                 0.7875,                 0.5785,                0.51729,                  1.114,               0.006436,               0.006436,               0.006436
                     56,                0.36871,                0.31605,                0.97004,                0.87108,                0.82863,                0.91915,                0.78755,                 0.5763,                0.51589,                 1.1116,                0.00637,                0.00637,                0.00637
                     57,                0.36801,                0.31807,                0.96903,                0.86785,                0.83982,                0.91981,                0.78922,                0.57611,                0.51379,                 1.1109,               0.006304,               0.006304,               0.006304
                     58,                0.36669,                0.31898,                0.96735,                0.87016,                0.83739,                 0.9203,                0.79005,                0.57505,                0.51164,                 1.1094,               0.006238,               0.006238,               0.006238
                     59,                0.36502,                0.31415,                 0.9655,                0.87175,                0.83788,                0.92067,                0.79068,                0.57494,                0.51025,                 1.1091,               0.006172,               0.006172,               0.006172
                     60,                0.35893,                0.30988,                0.95996,                0.87192,                0.83852,                0.92076,                 0.7909,                0.57305,                 0.5102,                 1.1073,               0.006106,               0.006106,               0.006106
                     61,                0.35767,                0.30748,                0.96099,                0.87586,                0.83811,                 0.9215,                0.79087,                0.57214,                0.50957,                 1.1059,                0.00604,                0.00604,                0.00604
                     62,                0.36197,                0.30721,                0.96256,                0.87463,                0.83895,                0.92143,                0.79149,                 0.5723,                0.50881,                 1.1058,               0.005974,               0.005974,               0.005974
                     63,                0.35818,                0.30355,                0.95808,                0.87414,                0.83858,                0.92156,                0.79202,                0.57324,                0.50727,                  1.107,               0.005908,               0.005908,               0.005908
                     64,                  0.357,                0.30636,                0.95848,                0.87443,                0.83788,                0.92171,                0.79189,                0.57187,                0.50559,                  1.106,               0.005842,               0.005842,               0.005842
                     65,                0.35528,                0.29909,                0.95906,                0.87394,                 0.8369,                0.92146,                0.79292,                0.57113,                0.50458,                  1.105,               0.005776,               0.005776,               0.005776
                     66,                0.35386,                0.29695,                 0.9554,                 0.8885,                 0.8225,                0.92104,                0.79249,                0.57107,                0.50361,                 1.1048,                0.00571,                0.00571,                0.00571
                     67,                 0.3554,                 0.2999,                0.95929,                0.89119,                0.82327,                 0.9217,                0.79347,                0.57032,                0.50307,                 1.1037,               0.005644,               0.005644,               0.005644
                     68,                0.35515,                0.29623,                0.95786,                0.88252,                0.83382,                 0.9218,                0.79404,                0.57001,                0.50292,                 1.1034,               0.005578,               0.005578,               0.005578
                     69,                0.35222,                0.29007,                 0.9545,                0.88374,                0.83268,                0.92183,                0.79445,                0.56963,                 0.5021,                 1.1027,               0.005512,               0.005512,               0.005512
                     70,                0.35129,                0.29019,                0.95373,                0.88152,                0.83447,                0.92206,                0.79467,                0.56982,                0.50056,                 1.1032,               0.005446,               0.005446,               0.005446
                     71,                0.35044,                0.29001,                0.95519,                0.87359,                0.84031,                0.92209,                0.79519,                0.56869,                0.50001,                 1.1018,                0.00538,                0.00538,                0.00538
                     72,                0.34597,                0.28498,                0.94886,                 0.8783,                0.83976,                0.92225,                0.79527,                0.56813,                0.49953,                 1.1007,               0.005314,               0.005314,               0.005314
                     73,                0.34777,                0.28419,                0.94816,                0.88382,                0.83704,                0.92191,                0.79573,                0.56807,                0.50022,                 1.1005,               0.005248,               0.005248,               0.005248
                     74,                0.34483,                0.28231,                0.94983,                0.88451,                0.83934,                0.92185,                0.79623,                0.56704,                0.49859,                 1.0996,               0.005182,               0.005182,               0.005182
                     75,                0.34329,                0.27669,                0.94708,                 0.8899,                0.83427,                0.92199,                0.79583,                 0.5668,                0.49817,                 1.0999,               0.005116,               0.005116,               0.005116
                     76,                  0.342,                0.27659,                0.94723,                0.88494,                0.83497,                0.92206,                0.79607,                0.56582,                0.49857,                 1.0993,                0.00505,                0.00505,                0.00505
                     77,                 0.3398,                0.27309,                0.94296,                 0.8879,                0.83296,                0.92224,                0.79622,                0.56579,                0.49785,                 1.0991,               0.004984,               0.004984,               0.004984
                     78,                0.33647,                0.27441,                0.94053,                 0.8885,                 0.8335,                0.92222,                0.79604,                 0.5658,                0.49749,                 1.0991,               0.004918,               0.004918,               0.004918
                     79,                0.33696,                 0.2726,                0.94046,                0.88852,                0.83544,                0.92184,                0.79622,                 0.5654,                  0.497,                 1.0991,               0.004852,               0.004852,               0.004852
                     80,                0.33389,                0.26833,                0.93993,                0.88842,                0.83642,                0.92184,                0.79659,                0.56501,                0.49744,                 1.0992,               0.004786,               0.004786,               0.004786
                     81,                0.33429,                0.27158,                0.93888,                 0.8892,                0.83593,                0.92158,                0.79694,                0.56452,                0.49633,                 1.0986,                0.00472,                0.00472,                0.00472
                     82,                0.33342,                0.26632,                 0.9386,                0.88947,                0.83544,                0.92139,                0.79671,                0.56538,                 0.4957,                 1.0999,               0.004654,               0.004654,               0.004654
                     83,                0.33251,                0.26852,                0.93904,                 0.8899,                0.83496,                0.92128,                 0.7975,                0.56536,                0.49591,                 1.0998,               0.004588,               0.004588,               0.004588
                     84,                0.33219,                0.26098,                0.93501,                0.89061,                0.83633,                0.92135,                 0.7974,                0.56548,                0.49475,                 1.1005,               0.004522,               0.004522,               0.004522
                     85,                0.33259,                0.26012,                0.93634,                0.89285,                0.83155,                0.92132,                0.79756,                0.56522,                0.49434,                 1.1004,               0.004456,               0.004456,               0.004456
                     86,                0.32921,                 0.2595,                0.93487,                0.88898,                 0.8343,                0.92106,                0.79695,                0.56498,                 0.4939,                 1.1002,                0.00439,                0.00439,                0.00439
                     87,                0.32983,                0.25733,                 0.9345,                0.88691,                0.83544,                0.92076,                0.79684,                0.56562,                0.49258,                 1.1013,               0.004324,               0.004324,               0.004324
                     88,                0.32558,                0.25412,                0.93033,                0.87216,                0.84698,                0.92088,                0.79663,                0.56547,                0.49174,                 1.1015,               0.004258,               0.004258,               0.004258
                     89,                0.32518,                0.25373,                0.93283,                0.87237,                0.84469,                0.92056,                0.79708,                0.56475,                0.49207,                 1.1008,               0.004192,               0.004192,               0.004192
                     90,                0.32256,                0.25159,                0.92962,                0.87177,                0.84859,                0.92046,                0.79752,                 0.5647,                0.49263,                 1.1008,               0.004126,               0.004126,               0.004126
                     91,                0.32473,                0.24815,                0.93145,                0.86868,                0.85344,                0.92032,                0.79753,                 0.5647,                0.49206,                 1.1008,                0.00406,                0.00406,                0.00406
                     92,                0.32229,                0.25073,                0.93121,                0.86993,                0.85297,                0.92062,                0.79716,                0.56558,                0.49217,                 1.1018,               0.003994,               0.003994,               0.003994
